1,1226,884
2,1607,746
3,616,590
4,2187,386
5,1281,291
6,898,395
7,621,891
8,2008,116
9,263,718
10,289,428
11,555,362
12,1875,551
13,2089,611
14,759,273
15,577,755
16,441,349
17,114,335
18,1006,302
19,1170,308
20,422,740
21,1852,708
22,152,89
23,1712,593
24,1739,420
25,1960,376
26,620,424
27,1492,863 
28,1599,241
29,1728,304
30,2315,724
31,1339,1010
32,611,747
33,1140,913
34,443,212
35,179,616
36,2177,240
37,1024,183
38,1241,602
39,232,85
40,1076,535
41,553,256
42,862,744
43,550,478
44,1606,656
45,218,588
46,1434,779
47,1932,803
48,322,826
49,2007,566
50,1144,622
51,1152,725
52,1533,233
53,1850,206
54,609,259
55,1337,187
56,2075,690
57,1194,70
58,1429,430
59,256,208
60,1373,343
61,1751,217
62,1755,521
63,1678,843
64,471,596
65,2251,578
66,1152,429
67,789,161
68,1058,661
69,1826,331
70,960,858
71,996,426
72,1973,707
73,2150,750
74,853,131
75,2120,168
76,2307,342
77,465,279
78,891,207
79,1463,924
80,1348,873
81,704,257
